,TEAM,GP,AST,APG,TO,TOPG,AST/TO,Season,BLK,BLK/PF,BLKPG,PF,DEF,DRPG,OFF,ORPG,REB,RPG,ST/PF,ST/TO,STL,STPG,2P%,2PA,2PM,3P%,3PAPG,3PATotal,3PMPG,3PMTotal,FG%,PPG,PPS,FT%,FTAPG,FTATotal,FTMPG,FTMTotal
0,Baylor,9,210,23.3,112,12.4,1.88,2015,37,0.22,4.11,168,249,27.7,147,16.3,396,44.0,0.47,0.71,79,8.78,.546,410,224,.345,18,165,6.3,57,.538,84.8,1.33,.750,21.3,192,16.0,144
1,Michigan State,11,250,22.7,134,12.2,1.87,2015,68,0.36,6.18,187,352,32.0,141,12.8,493,44.8,0.27,0.37,50,4.55,.546,399,218,.384,22,242,8.5,93,.558,79.8,1.37,.724,20.5,225,14.8,163
2,Evansville,10,217,21.7,127,12.7,1.71,2015,52,0.27,5.20,195,297,29.7,86,8.6,383,38.3,0.29,0.45,57,5.70,.564,431,243,.341,13,129,4.4,44,.552,80.9,1.44,.721,26.5,265,19.1,191
3,Saint Mary's,9,192,21.3,91,10.1,2.11,2015,25,0.16,2.78,157,250,27.8,87,9.7,337,37.4,0.34,0.59,54,6.00,.601,278,167,.477,24,220,11.7,105,.652,81.8,1.48,.674,14.3,129,9.7,87
4,SMU,8,162,20.3,99,12.4,1.64,2015,39,0.33,4.88,118,236,29.5,114,14.3,350,43.8,0.44,0.53,52,6.50,.560,341,191,.441,16,127,7.0,56,.588,82.4,1.41,.673,20.3,162,13.6,109
5,Pittsburgh,9,182,20.2,99,11.0,1.84,2015,46,0.30,5.11,155,267,29.7,113,12.6,380,42.2,0.26,0.40,40,4.44,.542,373,202,.392,18,166,7.2,65,.556,85.3,1.42,.782,24.0,216,18.8,169
6,Army,10,198,19.8,145,14.5,1.37,2015,35,0.17,3.50,201,300,30.0,118,11.8,418,41.8,0.30,0.41,60,6.00,.523,371,194,.409,28,276,11.3,113,.562,86.0,1.33,.679,19.6,196,13.3,133
7,Iowa,10,194,19.4,114,11.4,1.70,2015,52,0.31,5.20,170,287,28.7,120,12.0,407,40.7,0.41,0.61,70,7.00,.515,408,210,.403,24,236,9.5,95,.547,83.6,1.30,.732,17.9,179,13.1,131
8,Purdue,11,213,19.4,136,12.4,1.57,2015,63,0.33,5.73,193,363,33.0,132,12.0,495,45.0,0.30,0.42,57,5.18,.567,374,212,.373,25,276,9.4,103,.564,83.4,1.41,.736,22.7,250,16.7,184
9,North Carolina,10,193,19.3,107,10.7,1.80,2015,46,0.26,4.60,175,291,29.1,121,12.1,412,41.2,0.41,0.66,71,7.10,.546,454,248,.368,18,182,6.7,67,.548,85.3,1.34,.719,21.7,217,15.6,156
10,Fordham,9,173,19.2,135,15.0,1.28,2015,50,0.26,5.56,196,238,26.4,99,11.0,337,37.4,0.46,0.67,90,10.00,.544,331,180,.434,22,196,9.4,85,.583,82.7,1.41,.675,21.2,191,14.3,129
11,The Citadel,11,211,19.2,161,14.6,1.31,2015,41,0.15,3.73,266,262,23.8,136,12.4,398,36.2,0.42,0.69,111,10.09,.584,389,227,.340,36,400,12.4,136,.546,94.1,1.31,.755,20.8,229,15.7,173
12,Kansas,9,172,19.1,108,12.0,1.59,2015,38,0.25,4.22,155,246,27.3,93,10.3,339,37.7,0.49,0.70,76,8.44,.546,377,206,.469,20,179,9.3,84,.597,90.0,1.46,.679,23.9,215,16.2,146
13,Iona,7,133,19.0,94,13.4,1.41,2015,27,0.18,3.86,152,173,24.7,67,9.6,240,34.3,0.39,0.64,60,8.57,.502,237,119,.407,28,199,11.6,81,.552,84.1,1.35,.750,20.6,144,15.4,108
14,Northwestern,10,189,18.9,110,11.0,1.72,2015,60,0.31,6.00,191,284,28.4,103,10.3,387,38.7,0.23,0.40,44,4.40,.560,318,178,.385,26,262,10.1,101,.568,78.4,1.35,.672,18.6,186,12.5,125
15,Texas A&M;,10,188,18.8,138,13.8,1.36,2015,37,0.18,3.70,206,263,26.3,119,11.9,382,38.2,0.37,0.56,77,7.70,.534,373,199,.390,20,200,7.8,78,.551,79.4,1.39,.678,23.9,239,16.2,162
16,Marquette,10,188,18.8,147,14.7,1.28,2015,52,0.29,5.20,178,301,30.1,96,9.6,397,39.7,0.46,0.55,81,8.10,.553,389,215,.347,20,199,6.9,69,.542,79.1,1.35,.681,22.6,226,15.4,154
17,Iowa State,9,169,18.8,106,11.8,1.59,2015,39,0.31,4.33,125,279,31.0,80,8.9,359,39.9,0.54,0.64,68,7.56,.587,373,219,.380,24,216,9.1,82,.581,85.4,1.31,.659,14.3,129,9.4,85
18,Milwaukee,11,206,18.7,134,12.2,1.54,2015,21,0.11,1.91,191,293,26.6,106,9.6,399,36.3,0.30,0.43,58,5.27,.531,377,200,.368,24,269,9.0,99,.539,79.3,1.35,.754,21.1,232,15.9,175
19,Arkansas,9,168,18.7,100,11.1,1.68,2015,53,0.27,5.89,195,222,24.7,114,12.7,336,37.3,0.36,0.70,70,7.78,.485,437,212,.432,15,139,6.7,60,.524,85.8,1.34,.740,25.2,227,18.7,168
20,Sam Houston State,9,166,18.4,108,12.0,1.54,2015,17,0.09,1.89,198,238,26.4,126,14.0,364,40.4,0.26,0.48,52,5.78,.480,373,179,.314,23,210,7.3,66,.477,78.4,1.21,.685,24.3,219,16.7,150
